Trace
Swept SA
A.33.03,N9020B
1078000000,1.89088082313538
1079100000,1.89660096168518
1080200000,1.94641745090485
1081300000,1.92567992210388
1082400000,1.97329151630402
1083500000,1.98489117622375
1084600000,1.95900917053223
1085700000,1.99265694618225
1086800000,1.99323260784149
1087900000,2.02026605606079
1089000000,2.00687789916992
1090100000,2.01994752883911
1091200000,2.01684832572937
1092300000,2.04829144477844
1093400000,2.0481321811676
1094500000,2.04135847091675
1095600000,2.07133150100708
1096700000,2.06749749183655
1097800000,2.06072402000427
1098900000,2.09290194511414
1100000000,2.07804393768311
1101100000,2.07861948013306
1102200000,2.09756851196289
1103300000,2.08785510063171
1104400000,2.0796115398407
1105500000,2.09121131896973
1106600000,2.08296775817871
1107700000,2.08060359954834
1108800000,2.07963752746582
1109900000,2.09219837188721
1111000000,2.096675157547
1112100000,2.07616376876831
1113200000,2.07696580886841
1114300000,2.10202074050903
1115400000,2.0895938873291
1116500000,2.09407043457031
1117600000,2.07355928421021
1118700000,2.07648372650146
1119800000,2.07436418533325
1120900000,2.08179879188538
1122000000,2.07747459411621
1123100000,2.09446334838867
1124200000,2.09748840332031
1125300000,2.08140516281128
1126400000,2.06532168388367
1127500000,2.06246733665466
1128600000,2.08386564254761
1129700000,2.07586669921875
1130800000,2.06566286087036
1131900000,2.04223012924194
1133000000,2.05627918243408
1134100000,2.03725624084473
1135200000,2.0424861907959
1136300000,2.00141501426697
1137400000,2.01913857460022
1138500000,2.00673007965088
1139600000,1.99946594238281
1140700000,2.00322604179382
1141800000,1.98199808597565
1142900000,1.96224009990692
1144000000,1.96232533454895
1145100000,1.95947086811066
1146200000,1.95735144615173
1147300000,1.95082223415375
1148400000,1.97075080871582
1149500000,1.943643450737
1150600000,1.95254802703857
1151700000,1.92985022068024
1152800000,1.92846572399139
1153900000,1.93222570419312
1155000000,1.9198169708252
1156100000,1.92284202575684
1157200000,1.93909597396851
1158300000,1.90316939353943
1159400000,1.90251970291138
1160500000,1.92685794830322
1161600000,1.89828062057495
1162700000,1.92041409015656
1163800000,1.90580058097839
1164900000,1.92940390110016
1166000000,1.92287468910217
1167100000,1.90679144859314
1168200000,1.91569590568542
1169300000,1.89373314380646
1170400000,1.91072201728821
1171500000,1.92697584629059
1172600000,1.92118167877197
1173700000,1.93376088142395
1174800000,1.93972563743591
1175900000,1.94422054290771
1177000000,1.93622159957886
1178100000,1.95615017414093
1179200000,1.95403063297272
1180300000,1.96146523952484
1181400000,1.94538199901581
1182500000,1.93738293647766
1183600000,1.95804643630981
1184700000,1.94637274742126
1185800000,1.93984365463257
1186900000,1.95021796226501
1188000000,1.94736361503601
1189100000,1.97905111312866
1190200000,1.97178709506989
1191300000,1.97407710552216
1192400000,1.96754801273346
1193500000,1.963223695755
1194600000,1.95228493213654
1195700000,1.97074365615845
1196800000,1.9590699672699
1197900000,1.95989012718201
1199000000,1.93792736530304
1200100000,1.94860339164734
1201200000,1.94365239143372
1202300000,1.96148431301117
1203400000,1.93081045150757
1204500000,1.95525681972504
1205600000,1.9473659992218
1206700000,1.95049917697906
1207800000,1.92643976211548
1208900000,1.92878520488739
1210000000,1.89358186721802
1211100000,1.91496872901917
1212200000,1.86653649806976
1213300000,1.88130879402161
1214400000,1.86594879627228
1215500000,1.83515512943268
1216600000,1.83228898048401
1217700000,1.83162760734558
1218800000,1.81185793876648
1219900000,1.81119668483734
1221000000,1.7928968667984
1222100000,1.75989830493927
1223200000,1.74674308300018
1224300000,1.74681675434113
